Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.101222450007234,-0.134712291964518,0.0611878805385779,0,0,0,5.04599768700974,0.0199585188421209,8.49633695552715E-07,3.57924483955386E-07,0.0133780567917248,-8.69413175240184E-06,0.0204011323429147,0,0,0,0,0,0,package://new_sus/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://new_sus/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RFW,0.0176842754269317,0.00317905396079527,-0.000103745604902616,0,0,0,0.193585420779862,0.000253081141332253,-7.98059977897464E-24,4.95236102613101E-21,0.000136818598566517,4.2351647362715E-22,0.000136818598566517,0,0,0,0,0,0,package://new_sus/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://new_sus/meshes/RFW.STL,,wheel-2,Origin_RFW,Axis_RFW,RFW,continuous,0.071753,-0.021399,-0.034801,1.6034,0,0,base_link,1,0,0,3.1,7,,,,,,,,,,
LFW,0.0176842754249047,-0.00098214776682639,0.00237717934481885,0,0,0,0.193585420779862,0.000253081141332254,-1.35754373945964E-19,-8.02909614531217E-19,0.000136818598566517,-1.01643953670516E-20,0.000136818598566517,0,0,0,0,0,0,package://new_sus/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://new_sus/meshes/LFW.STL,,wheel-4,Origin_LFW,Axis_LFW,LFW,continuous,-0.27175,-0.021399,-0.034803,-0.3918,0,3.1416,base_link,1,0,0,3.1,7,,,,,,,,,,
RBW,0.017684,0.0043791,0.0016749,0,0,0,0.19359,0.00025308,7.1711E-19,5.478E-19,0.00013682,0,0.00013682,0,0,0,0,0,0,package://new_sus/meshes/RBW.STL,1,1,1,1,0,0,0,0,0,0,package://new_sus/meshes/RBW.STL,,wheel-1,Origin_RBW,Axis_RBW,RBW,continuous,0.071753,-0.2186,-0.034803,1.2055,0,0,base_link,1,0,0,3.1,7,,,,,,,,,,
LBW,0.017684,-0.010085,0.02598,0,0,0,0.19359,0.00025308,1.7293E-20,-3.6518E-21,0.00013682,-1.3553E-20,0.00013682,0,0,0,0,0,0,package://new_sus/meshes/LBW.STL,1,1,1,1,0,0,0,0,0,0,package://new_sus/meshes/LBW.STL,,wheel-3,Origin_LBW,Axis_LBW,LBW,continuous,-0.27175,-0.218,-0.034801,-0.3918,0,3.1416,base_link,1,0,0,3.1,7,,,,,,,,,,
RFS,0.072447,-0.031683,0.02534,0,0,0,0.26437,3.2075E-05,1.4412E-07,6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://new_sus/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://new_sus/meshes/RFS.STL,,Suspensionsystem2-1,Origin_RFS2,Axis_RFS,RFS,prismatic,0.10792,-0.012126,0.032608,2.834,0,-3.1416,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LFS,0.066688,-0.025617,0.027258,0,0,0,0.26437,3.2075E-05,-1.4412E-07,-6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://new_sus/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://new_sus/meshes/LFS.STL,,Suspensionsystem-2,Origin_LFS2,Axis_LFS,LFS,prismatic,-0.30216,-0.05081,0.031999,2.834,0,0,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
RBS,0.0666875210853819,-0.0256174029954352,0.0272583251967587,0,0,0,0.26437001106024,3.20746276473134E-05,-1.44118283521415E-07,-6.30853084344922E-08,6.22704126338856E-05,-2.01894652764204E-07,6.28519936954001E-05,0,0,0,0,0,0,package://new_sus/meshes/RBS.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://new_sus/meshes/RBS.STL,,Suspensionsystem-1,Origin_RBS2,Axis_RBS,RBS,prismatic,0.10216,-0.18919,0.034116,2.834,0,-3.1416,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
LBS,0.072447,-0.0024231,-0.066755,0,0,0,0.26437,3.2075E-05,1.4412E-07,6.3085E-08,6.227E-05,-2.0189E-07,6.2852E-05,0,0,0,0,0,0,package://new_sus/meshes/LBS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://new_sus/meshes/LBS.STL,,Suspensionsystem2-2,Origin_LBS3,Axis_LBS,LBS,prismatic,-0.30792,-0.22787,-0.039342,2.834,0,0,base_link,0,0.3028,-0.95305,0,0,0,0,,,,,,,,
Camera,-0.023886,-0.025501,0.093335,0,0,0,0.084224,1.3967E-05,-8.8168E-10,-1.0104E-09,3.6726E-05,-1.5151E-06,3.0115E-05,0,0,0,0,0,0,package://new_sus/meshes/Camera.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://new_sus/meshes/Camera.STL,,webcam-1,Origin_Camera,,Camera,fixed,-0.13188,-0.10697,0.14474,1.7188,0,3.1056,base_link,0,0,0,,,,,,,,,,,,
